abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,Total_Attack,Total_Defense
"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,70,440,45.0,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,Qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0,150,140
"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150,6400,70,600,25.0,Pincer Pokémon,140,1000000,1.8,70,Hassamハッサム,Scizor,50.0,212,65,100,75,bug,steel,118.0,2,0,215,240
"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10,5120,70,505,190.0,Mold Pokémon,230,1059860,0.6,20,Tsubotsuboツボツボ,Shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0,20,460
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,6400,70,600,45.0,Singlehorn Pokémon,115,1250000,1.5,80,Heracrosヘラクロス,Heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0,225,220
"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95,5120,35,430,60.0,Sharp Claw Pokémon,55,1059860,0.9,55,Nyulaニューラ,Sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0,130,130
"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,330,120.0,Little Bear Pokémon,50,1000000,0.6,60,Himegumaヒメグマ,Teddiursa,50.0,216,50,50,40,normal,None,8.8,2,0,130,100
"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,5120,70,500,60.0,Hibernator Pokémon,75,1000000,1.8,90,Ringumaリングマ,Ursaring,50.0,217,75,75,55,normal,None,125.8,2,0,205,150
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,5120,70,250,190.0,Lava Pokémon,40,1000000,0.7,40,Magmagマグマッグ,Slugma,50.0,218,70,40,20,fire,None,35.0,2,0,110,80
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50,5120,70,430,75.0,Lava Pokémon,120,1000000,0.8,60,Magcargotマグカルゴ,Magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0,140,200
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,5120,70,250,225.0,Pig Pokémon,40,1250000,0.4,50,Urimooウリムー,Swinub,50.0,220,30,30,50,ice,ground,6.5,2,0,80,70
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,100,5120,70,450,75.0,Swine Pokémon,80,1250000,1.1,100,Inomooイノムー,Piloswine,50.0,221,60,60,50,ice,ground,55.8,2,0,160,140
"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55,5120,70,410,60.0,Coral Pokémon,95,800000,0.6,65,Sunnygoサニーゴ,Corsola,24.6,222,65,95,35,water,rock,5.0,2,0,120,190
"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,300,190.0,Jet Pokémon,35,1000000,0.6,35,Teppouoテッポウオ,Remoraid,50.0,223,65,35,65,water,None,12.0,2,0,130,70
"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,480,75.0,Jet Pokémon,75,1000000,0.9,75,Okutankオクタン,Octillery,50.0,224,105,75,45,water,None,28.5,2,0,210,150
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,55,5120,70,330,45.0,Delivery Pokémon,45,800000,0.9,45,Delibirdデリバード,Delibird,50.0,225,65,45,75,ice,flying,16.0,2,0,120,90
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40,6400,70,485,25.0,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,Mantine,50.0,226,80,140,70,water,flying,220.0,2,0,120,210
"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,80,6400,70,465,25.0,Armor Bird Pokémon,140,1250000,1.7,65,Airmdエアームド,Skarmory,50.0,227,40,70,70,steel,flying,50.5,2,0,120,210
"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,60,5120,35,330,120.0,Dark Pokémon,30,1250000,0.6,45,Delvilデルビル,Houndour,50.0,228,80,50,65,dark,fire,10.8,2,0,140,80
"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,90,5120,35,600,45.0,Dark Pokémon,90,1250000,1.4,75,Hellgarヘルガー,Houndoom,50.0,229,140,90,115,dark,fire,35.0,2,0,230,180
"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,95,5120,70,540,45.0,Dragon Pokémon,95,1000000,1.8,75,Kingdraキングドラ,Kingdra,50.0,230,95,95,85,water,dragon,152.0,2,0,190,190
"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60,5120,70,330,120.0,Long Nose Pokémon,60,1000000,0.5,90,Gomazouゴマゾウ,Phanpy,50.0,231,40,40,40,ground,None,33.5,2,0,100,100
"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,120,5120,70,500,60.0,Armor Pokémon,120,1000000,1.1,90,Donfanドンファン,Donphan,50.0,232,60,60,50,ground,None,120.0,2,0,180,180
"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,515,45.0,Virtual Pokémon,90,1000000,0.6,85,Porygon2ポリゴン２,Porygon2,0.0,233,105,95,60,normal,None,32.5,2,0,185,185
"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,5120,70,465,45.0,Big Horn Pokémon,62,1250000,1.4,73,Odoshishiオドシシ,Stantler,50.0,234,85,65,85,normal,None,71.2,2,0,180,127
"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,5120,70,250,45.0,Painter Pokémon,35,800000,1.2,55,Dobleドーブル,Smeargle,50.0,235,20,45,75,normal,None,58.0,2,0,40,80
"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,35,6400,70,210,75.0,Scuffle Pokémon,35,1000000,0.7,35,Balkieバルキー,Tyrogue,100.0,236,35,35,35,fighting,None,21.0,2,0,70,70
"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95,6400,70,455,45.0,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,Hitmontop,100.0,237,35,110,70,fighting,None,48.0,2,0,130,205
"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,30,6400,70,305,45.0,Kiss Pokémon,15,1000000,0.4,45,Muchulムチュール,Smoochum,0.0,238,85,65,65,ice,psychic,6.0,2,0,115,80
"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,63,6400,70,360,45.0,Electric Pokémon,37,1000000,0.6,45,Elekidエレキッド,Elekid,75.4,239,65,55,95,electric,None,23.5,2,0,128,92
"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,75,6400,70,365,45.0,Live Coal Pokémon,37,1000000,0.7,45,Bubyブビィ,Magby,75.4,240,70,55,83,fire,None,21.4,2,0,145,92
"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,490,45.0,Milk Cow Pokémon,105,1250000,1.2,95,Miltankミルタンク,Miltank,0.0,241,40,70,100,normal,None,75.5,2,0,120,175
"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10240,140,540,30.0,Happiness Pokémon,10,800000,1.5,255,Happinasハピナス,Blissey,0.0,242,75,135,55,normal,None,46.8,2,0,85,145
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3.0,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,Raikou,0.0,243,115,100,115,electric,None,178.0,2,1,200,175
"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3.0,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,Entei,0.0,244,90,75,100,fire,None,198.0,2,1,205,160
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3.0,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,Suicune,0.0,245,90,115,85,water,None,187.0,2,1,165,230
"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,64,10240,35,300,45.0,Rock Skin Pokémon,50,1250000,0.6,50,Yogirasヨーギラス,Larvitar,50.0,246,45,50,41,rock,ground,72.0,2,0,109,100
['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,84,10240,35,410,45.0,Hard Shell Pokémon,70,1250000,1.2,70,Sanagirasサナギラス,Pupitar,50.0,247,65,70,51,rock,ground,152.0,2,0,149,140
"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,164,10240,35,700,45.0,Armor Pokémon,150,1250000,2.0,100,Bangirasバンギラス,Tyranitar,50.0,248,95,120,71,rock,dark,202.0,2,0,259,270
"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90,30720,0,680,3.0,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,Lugia,0.0,249,90,154,110,psychic,flying,216.0,2,1,180,284
"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,130,30720,0,680,3.0,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,Ho-Oh,0.0,250,110,154,90,fire,flying,199.0,2,1,240,244
['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100,30720,100,600,45.0,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,Celebi,0.0,251,100,100,100,psychic,grass,5.0,2,1,200,200
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,45,5120,70,310,45.0,Wood Gecko Pokémon,35,1059860,0.5,40,Kimoriキモリ,Treecko,88.1,252,65,55,70,grass,None,5.0,3,0,110,90
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,65,5120,70,405,45.0,Wood Gecko Pokémon,45,1059860,0.9,50,Juptileジュプトル,Grovyle,88.1,253,85,65,95,grass,None,21.6,3,0,150,110
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,110,5120,70,630,45.0,Forest Pokémon,75,1059860,1.7,70,Jukainジュカイン,Sceptile,88.1,254,145,85,145,grass,None,52.2,3,0,255,160
"['Blaze', 'Speed Boost']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,60,5120,70,310,45.0,Chick Pokémon,40,1059860,0.4,45,Achamoアチャモ,Torchic,88.1,255,70,50,45,fire,None,2.5,3,0,130,90
"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,85,5120,70,405,45.0,Young Fowl Pokémon,60,1059860,0.9,60,Wakasyamoワカシャモ,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0,170,120
"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,160,5120,70,630,45.0,Blaze Pokémon,80,1059860,1.9,80,Bursyamoバシャーモ,Blaziken,88.1,257,130,80,100,fire,fighting,52.0,3,0,290,160
"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,70,5120,70,310,45.0,Mud Fish Pokémon,50,1059860,0.4,50,Mizugorouミズゴロウ,Mudkip,88.1,258,50,50,40,water,None,7.6,3,0,120,100
"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,70,405,45.0,Mud Fish Pokémon,70,1059860,0.7,70,Numacrawヌマクロー,Marshtomp,88.1,259,60,70,50,water,ground,28.0,3,0,145,140
"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,150,5120,70,635,45.0,Mud Fish Pokémon,110,1059860,1.5,100,Laglargeラグラージ,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0,245,220
"['Run Away', 'Quick Feet', 'Rattled']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,55,3840,70,220,255.0,Bite Pokémon,35,1000000,0.5,35,Pochienaポチエナ,Poochyena,50.0,261,30,30,35,dark,None,13.6,3,0,85,65
"['Intimidate', 'Quick Feet', 'Moxie']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90,3840,70,420,127.0,Bite Pokémon,70,1000000,1.0,70,Graenaグラエナ,Mightyena,50.0,262,60,60,70,dark,None,37.0,3,0,150,130
"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,3840,70,240,255.0,Tiny Racoon Pokémon,41,1000000,0.4,38,Jiguzagumaジグザグマ,Zigzagoon,50.0,263,30,41,60,normal,None,17.5,3,0,60,82
"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,3840,70,420,90.0,Rush Pokémon,61,1000000,0.5,78,Massugumaマッスグマ,Linoone,50.0,264,50,61,100,normal,None,32.5,3,0,120,122
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,195,255.0,Worm Pokémon,35,1000000,0.3,45,Kemussoケムッソ,Wurmple,50.0,265,20,30,20,bug,None,3.6,3,0,65,65
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120.0,Cocoon Pokémon,55,1000000,0.6,50,Karasalisカラサリス,Silcoon,50.0,266,25,25,15,bug,None,10.0,3,0,60,80
"['Swarm', 'Rivalry']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,70,3840,70,395,45.0,Butterfly Pokémon,50,1000000,1.0,60,Agehuntアゲハント,Beautifly,50.0,267,100,50,65,bug,flying,28.4,3,0,170,100
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120.0,Cocoon Pokémon,55,1000000,0.7,50,Mayuldマユルド,Cascoon,50.0,268,25,25,15,bug,None,11.5,3,0,60,80
"['Shield Dust', 'Compoundeyes']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,50,3840,70,385,45.0,Poison Moth Pokémon,70,1000000,1.2,60,Dokucaleドクケイル,Dustox,50.0,269,50,90,65,bug,poison,31.6,3,0,100,160
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,30,3840,70,220,255.0,Water Weed Pokémon,30,1059860,0.5,40,Hassbohハスボー,Lotad,50.0,270,40,50,30,water,grass,2.6,3,0,70,80
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,50,3840,70,340,120.0,Jolly Pokémon,50,1059860,1.2,60,Hasubreroハスブレロ,Lombre,50.0,271,60,70,50,water,grass,32.5,3,0,110,120
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,70,3840,70,480,45.0,Carefree Pokémon,70,1059860,1.5,80,Runpappaルンパッパ,Ludicolo,50.0,272,90,100,70,water,grass,55.0,3,0,160,170
"['Chlorophyll', 'Early Bird', 'Pickpocket']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,40,3840,70,220,255.0,Acorn Pokémon,50,1059860,0.5,40,Tanebohタネボー,Seedot,50.0,273,30,30,30,grass,None,4.0,3,0,70,80
"['Chlorophyll', 'Early Bird', 'Pickpocket']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,70,3840,70,340,120.0,Wily Pokémon,40,1059860,1.0,70,Konohanaコノハナ,Nuzleaf,50.0,274,60,40,60,grass,dark,28.0,3,0,130,80
"['Chlorophyll', 'Early Bird', 'Pickpocket']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,100,3840,70,480,45.0,Wickid Pokémon,60,1059860,1.3,90,Dirtengダーテング,Shiftry,50.0,275,90,60,80,grass,dark,59.6,3,0,190,120
"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,55,3840,70,270,200.0,TinySwallow Pokémon,30,1059860,0.3,40,Subameスバメ,Taillow,50.0,276,30,30,85,normal,flying,2.3,3,0,85,60
"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,3840,70,455,45.0,Swallow Pokémon,60,1059860,0.7,60,Ohsubameオオスバメ,Swellow,50.0,277,75,50,125,normal,flying,19.8,3,0,160,110
"['Keen Eye', 'Hydration', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,30,5120,70,270,190.0,Seagull Pokémon,30,1000000,0.6,40,Camomeキャモメ,Wingull,50.0,278,55,30,85,water,flying,9.5,3,0,85,60
"['Keen Eye', 'Drizzle', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,50,5120,70,440,45.0,Water Bird Pokémon,100,1000000,1.2,60,Pelipperペリッパー,Pelipper,50.0,279,95,70,65,water,flying,28.0,3,0,145,170
"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,25,5120,35,198,235.0,Feeling Pokémon,25,1250000,0.4,28,Raltsラルトス,Ralts,50.0,280,45,35,40,psychic,fairy,6.6,3,0,70,60
"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,35,5120,35,278,120.0,Emotion Pokémon,35,1250000,0.8,38,Kirliaキルリア,Kirlia,50.0,281,65,55,50,psychic,fairy,20.2,3,0,100,90
"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,85,5120,35,618,45.0,Embrace Pokémon,65,1250000,1.6,68,Sirnightサーナイト,Gardevoir,50.0,282,165,135,100,psychic,fairy,48.4,3,0,250,200
"['Swift Swim', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,30,3840,70,269,200.0,Pond Skater Pokémon,32,1000000,0.5,40,Ametamaアメタマ,Surskit,50.0,283,50,52,65,bug,water,1.7,3,0,80,84
"['Intimidate', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,60,3840,70,454,75.0,Eyeball Pokémon,62,1000000,0.8,70,Amemothアメモース,Masquerain,50.0,284,100,82,80,bug,flying,3.6,3,0,160,144
"['Effect Spore', 'Poison Heal', 'Quick Feet']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,40,3840,70,295,255.0,Mushroom Pokémon,60,1640000,0.4,60,Kinococoキノココ,Shroomish,50.0,285,40,60,35,grass,None,4.5,3,0,80,120
"['Effect Spore', 'Poison Heal', 'Technician']",1.0,0.5,1.0,0.5,2.0,1.0,2.0,4.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5,130,3840,70,460,90.0,Mushroom Pokémon,80,1640000,1.2,60,Kinogassaキノガッサ,Breloom,50.0,286,60,60,70,grass,fighting,39.2,3,0,190,140
['Truant'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,3840,70,280,255.0,Slacker Pokémon,60,1250000,0.8,60,Namakeroナマケロ,Slakoth,50.0,287,35,35,30,normal,None,24.0,3,0,95,95
['Vital Spirit'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,3840,70,440,120.0,Wild Monkey Pokémon,80,1250000,1.4,80,Yarukimonoヤルキモノ,Vigoroth,50.0,288,55,55,90,normal,None,46.5,3,0,135,135
['Truant'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160,3840,70,670,45.0,Lazy Pokémon,100,1250000,2.0,150,Kekkingケッキング,Slaking,50.0,289,95,65,100,normal,None,130.5,3,0,255,165
